molecule_chembl_id,canonical_smiles,activity_comment
CHEMBL398372,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCOC(=O)NCCCCO,Non-toxic
CHEMBL137803,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCCC(=C)[C@@H]3C[C@H]12,Toxic
CHEMBL486423,C=C1CCC[C@]2(C)C[C@H]3OC(=O)[C@@H](C)[C@H]3C[C@@H]12,Non-toxic
CHEMBL6466,O=c1ccc2ccccc2o1,Non-toxic
CHEMBL24171,COc1c2ccoc2cc2oc(=O)ccc12,Non-toxic
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,Non-toxic
CHEMBL52229,COc1ccc2ccc(=O)oc2c1CC=C(C)C,Non-toxic
CHEMBL453805,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,Non-toxic
CHEMBL164660,O=c1ccc2cc3ccoc3cc2o1,Non-toxic
CHEMBL51628,O=c1ccc2ccc(O)cc2o1,Non-toxic
CHEMBL447467,N=C(N)NN=O,Toxic
CHEMBL450641,CC/C=C/C=C/C=C/C=C/OCC(O)CO,Toxic
CHEMBL451631,CC/C=C/OCC(O)CO,Non-toxic
CHEMBL485168,CC/C=C/C=C/C=C/OCC(O)CO,Non-toxic
CHEMBL451634,CC/C=C/C=C/OCC(O)CO,Non-toxic
CHEMBL454514,CC/C=C/C=C/C=C/C=C/C=C/OC[C@@H](O)CO,Toxic
CHEMBL486102,CC/C=C/C=C/C=C/C=C/C=C/OCC(O)CO,Toxic
CHEMBL121548,C/C=C/c1cc(OC)c(OC)c(OC)c1,Toxic
CHEMBL465004,COc1cc(OC)c2cc([N+](=O)[O-])c3c(C(=O)O)cc4c(c3c2c1)OCO4,Toxic
CHEMBL232104,COC(=O)N1CCC(CN(C2Cc3cc(C#N)ccc3N(Cc3cncn3C)C2)S(=O)(=O)c2ccccn2)CC1,Non-toxic
CHEMBL1173240,Cc1nc(Nc2cccc3c2C[C@H](O)CC3)oc1-c1ccc(C(F)(F)F)cc1,Non-toxic
CHEMBL1170367,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccnn3C)sc12,Non-toxic
CHEMBL1766005,COC(=O)C(C)(C)C(c1ccc(Nc2ccc3ccccc3c2)cc1)n1ccnc1,Non-toxic
CHEMBL1766310,COc1cc2c(cc1OC)C1CCC2N1N=O,Toxic
CHEMBL1766312,O=NN1C2C=CC1c1cc([N+](=O)[O-])ccc12,Toxic
CHEMBL1766313,O=NN1C2CC(O)C1c1ccc([N+](=O)[O-])cc12,Toxic
CHEMBL1766307,O=NN1C2c3ccccc3C1C(C(F)(F)F)C2C(F)(F)F,Non-toxic
CHEMBL1766305,O=NN1C2c3ccccc3C1C1C(=O)N(c3ccccc3)C(=O)C12,Non-toxic
CHEMBL2092729,CN1C(=O)[C@@H]2C3c4ccccc4C([C@@H]2C1=O)N3N=O,Non-toxic
CHEMBL1766303,CCOC(=O)CCN1C(=O)C2C(C1=O)C1c3ccccc3C2N1N=O,Non-toxic
CHEMBL1766304,COC(=O)C1C(C(=O)OC)C2c3ccccc3C1N2N=O,Non-toxic
CHEMBL1766308,COC(=O)C1CC2c3ccccc3C1N2N=O,Non-toxic
CHEMBL1766309,O=NN1C2CCC1c1ccccc12,Non-toxic
CHEMBL1766311,O=NN1C2CCC1c1cc([N+](=O)[O-])ccc12,Non-toxic
CHEMBL1766314,O=NN1C2CC(O)C1c1ccccc12,Non-toxic
CHEMBL1766315,O=NN1C2CCC1CC2,Non-toxic
CHEMBL1766316,COC(=O)C1C(C(=O)OC)C2CCC1N2N=O,Non-toxic
CHEMBL1766317,COCC12CCC(C(C(=O)OC)C1)N2N=O,Non-toxic
CHEMBL1766318,COC(=O)C1CC2(COCc3ccccc3)CCC1N2N=O,Non-toxic
CHEMBL1766319,O=NN1Cc2ccccc2C1,Non-toxic
CHEMBL351175,O=NN1CCCC1,Non-toxic
CHEMBL1774859,CC(=O)c1c(C(F)(F)F)[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],Toxic
CHEMBL1774812,O=C(c1ccccc1)c1c(C(F)(F)F)[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],Non-toxic
CHEMBL1424857,CC(=O)c1c(C)[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],Toxic
CHEMBL1778446,COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(Br)cc3nccn23)cc1C,Non-toxic
CHEMBL1778449,COCCc1sc(S(=O)(=O)NC(=O)Nc2cc(Br)cc(N)n2)cc1C,Toxic
CHEMBL1823817,COC[C@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,Non-toxic
